name,playerID,teamID,year,HR,AB,mean_exit_velo,mean_launch_angle,launch_angle_75,launch_angle_70,launch_angle_65,exit_velo_75,exit_velo_80,exit_velo_85,BPF
Tommy Edman,edmanto01,SLN,2021,11,641,87.10331588132635,9.317626527050614,29,24,19,98,99.1,100.32,92
David Fletcher,fletcda02,LAA,2021,2,626,81.46632124352332,7.728842832469773,25,21,18,92.3,94,95.1,102
Ty France,francty01,SEA,2021,18,571,88.5746835443038,11.130801687763727,27.75,23,20,99.77499999999999,101.14,103.2,95
Freddie Freeman,freemfr01,ATL,2021,31,600,91.53638059701493,11.951492537313436,29,25.5,22,101.82499999999999,103.5,104.87500000000001,107
Adolis Garcia,garciad02,TEX,2021,31,581,90.84198473282443,14.679389312977081,33,30,26,101.3,102.36,103.7,99
Paul Goldschmidt,goldspa01,SLN,2021,31,603,92.31590457256462,16.371769383697806,33,30,26,102.35,103.86,105.53999999999999,92
Robbie Grossman,grossro01,DET,2021,23,557,87.60997732426304,20.485260770975053,36,32,28,97.1,98.1,100.3,96
Vladimir Guerrero,guerrvl02,TOR,2021,48,604,95.05790476190477,9.158095238095235,26,23,20,107,108.52000000000001,110.5,102
Mitch Haniger,hanigmi01,SEA,2021,39,620,89.30410367170627,14.935205183585316,31.5,28,26,100.6,102.1,103.4,95
Teoscar Hernandez,hernate01,TOR,2021,32,550,91.63971962616823,13.507009345794392,30,26,23.55000000000001,103.5,104.96000000000001,106.3,102
Aaron Judge,judgeaa01,NYA,2021,39,550,95.86666666666667,11.293144208037823,27.5,23.399999999999977,20,106.9,108,109.87,100
Isiah Kiner-Falefa,kineris01,TEX,2021,8,635,85.50396396396397,5.109909909909913,22,19,14,96.5,97.42000000000002,99.1,99
DJ LeMahieu,lemahdj01,NYA,2021,10,597,90.41486988847583,4.470260223048336,21.75,18,15,99.87500000000001,101.36,102.4,100
Nathaniel Lowe,lowena01,TEX,2021,18,557,90.93151364764269,4.771712158808936,25,20,17,101.9,103.3,104.97,99
Manny Machado,machama01,SDN,2021,28,564,92.95274261603376,13.91772151898734,32,28,24,105.225,106.5,108.21000000000001,92
Trey Mancini,mancitr01,BAL,2021,21,556,89.09880952380952,9.666666666666666,27,22,20,101.82499999999999,103.34,105.24499999999999,103
J. D. Martinez,martijd02,BOS,2021,28,570,92.315859030837,16.544052863436118,30,27.099999999999966,25.44999999999999,102.54999999999998,104.03999999999999,105.105,109
Whit Merrifield,merriwh01,KCA,2021,10,664,86.36933797909408,13.951219512195125,29,25,23,95.8,97.3,98.6,105
Cedric Mullins,mullice01,BAL,2021,30,602,87.98642714570859,13.71057884231536,31,28,25,99.1,100.4,101.5,103
Matt Olson,olsonma02,OAK,2021,39,565,91.48418803418804,15.910256410256412,36.25,32,28,103,104.76,106.2,95
Salvador Perez,perezsa02,KCA,2021,48,620,92.92850877192983,15.69517543859649,35,31.5,28,103.5,105.1,106.45,105
Jorge Polanco,polanjo01,MIN,2021,33,588,88.28167330677292,17.970119521912352,36.75,32.69999999999999,27,99.37500000000001,100.88,102.5,98
Jose Ramirez,ramirjo01,CLE,2021,36,552,89.75576519916143,18.549266247379457,37,33,29.400000000000034,100.4,101.3,103.4,101
Bryan Reynolds,reynobr01,PIT,2021,24,559,89.50600858369098,13.103004291845497,31,27.5,23,100.9,102.6,104.42500000000001,98
Austin Riley,rileyau01,ATL,2021,33,590,90.32367864693447,14.2367864693446,32,28,24,103.4,104.6,106.72,107
Amed Rosario,rosaram01,CLE,2021,11,550,88.88631090487239,5.577726218097451,24,20,16,99.7,101.2,102.7,101
Carlos Santana,santaca01,KCA,2021,19,565,89.86124197002141,12.89293361884368,33,29,24,100,102.08,103.8,105
Jonathan Schoop,schoojo01,DET,2021,22,623,87.97142857142858,10.664092664092664,28,24.899999999999977,21,100.87500000000001,102.5,104.7,96
